2024-05-14 07:27:15 status unpacked gcc-12:amd64 12.2.0-14
2024-05-14 07:27:16 install gcc:amd64 <none> 4:12.2.0-3
2024-05-14 07:27:16 status half-installed gcc:amd64 4:12.2.0-3
2024-05-14 07:27:16 status unpacked gcc:amd64 4:12.2.0-3
2024-05-14 07:27:16 install gnupg-l10n:all <none> 2.2.40-1.1
2024-05-14 07:27:16 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-05-14 07:27:16 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-05-14 07:27:16 install gnupg-utils:amd64 <none> 2.2.40-1.1
2024-05-14 07:27:16 status half-installed gnupg-utils:amd64 2.2.40-1.1
2024-05-14 07:27:16 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-05-14 07:27:16 install libsqlite3-0:amd64 <none> 3.40.1-2
2024-05-14 07:27:16 status half-installed libsqlite3-0:amd64 3.40.1-2
2024-05-14 07:27:16 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-05-14 07:27:16 install gpg:amd64 <none> 2.2.40-1.1
2024-05-14 07:27:16 status half-installed gpg:amd64 2.2.40-1.1
2024-05-14 07:27:16 status unpacked gpg:amd64 2.2.40-1.1
2024-05-14 07:27:16 install libncursesw6:amd64 <none> 6.4-4
2024-05-14 07:27:16 status half-installed libncursesw6:amd64 6.4-4
2024-05-14 07:27:16 status unpacked libncursesw6:amd64 6.4-4
2024-05-14 07:27:16 install pinentry-curses:amd64 <none> 1.2.1-1
2024-05-14 07:27:16 status half-installed pinentry-curses:amd64 1.2.1-1
2024-05-14 07:27:16 status unpacked pinentry-curses:amd64 1.2.1-1
2024-05-14 07:27:16 install gpg-agent:amd64 <none> 2.2.40-1.1
2024-05-14 07:27:16 status half-installed gpg-agent:amd64 2.2.40-1.1
2024-05-14 07:27:16 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-05-14 07:27:16 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2024-05-14 07:27:16 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2024-05-14 07:27:16 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-05-14 07:27:16 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2024-05-14 07:27:16 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2024-05-14 07:27:16 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-05-14 07:27:16 install gpgsm:amd64 <none> 2.2.40-1.1
2024-05-14 07:27:16 status half-installed gpgsm:amd64 2.2.40-1.1
2024-05-14 07:27:16 status unpacked gpgsm:amd64 2.2.40-1.1
2024-05-14 07:27:16 install gnupg:all <none> 2.2.40-1.1
2024-05-14 07:27:16 status half-installed gnupg:all 2.2.40-1.1
2024-05-14 07:27:16 status unpacked gnupg:all 2.2.40-1.1
2024-05-14 07:27:16 install libbluetooth3:amd64 <none> 5.66-1+deb12u1
2024-05-14 07:27:16 status half-installed libbluetooth3:amd64 5.66-1+deb12u1
2024-05-14 07:27:16 status unpacked libbluetooth3:amd64 5.66-1+deb12u1
2024-05-14 07:27:16 install libc-dev-bin:amd64 <none> 2.36-9+deb12u7
